fish_name,tank_volume_m3,fish_count,initial_weight_g,stocking_density_fish_m3,temperature,ph,dissolved_oxygen,ammonia,nitrite,alkalinity,feed_protein_percent,daily_feed_kg,culture_period_days,final_weight_g,final_biomass_kg,survival_rate_percent,fcr
Pangasius,46.0,3590,16.1,78.04,26.2,7.76,4.72,0.65,0.96,106.4,33.0,1.641,115,26.47,74.03,77.91,1.6
Tilapia,62.9,562,71.5,8.93,30.8,7.71,5.45,0.39,0.48,131.0,32.6,0.796,183,169.76,90.63,94.99,1.36
Koi,74.7,6267,12.2,83.9,25.3,6.74,5.18,0.98,0.85,79.5,32.9,1.499,149,19.92,91.2,73.06,1.58
Catla,96.1,1428,32.3,14.86,29.8,7.61,4.68,1.15,0.48,122.7,30.1,1.361,206,59.31,63.36,74.81,1.81
Tilapia,69.9,499,24.8,7.14,31.8,6.8,7.35,0.06,0.22,85.5,28.2,0.328,174,54.87,26.22,95.78,1.27
Catla,34.6,6162,17.2,178.09,27.0,8.19,5.28,0.78,0.29,175.6,32.7,3.074,151,26.3,123.84,76.41,1.94
Silver Carp,86.6,927,38.7,10.7,29.8,8.38,3.96,1.09,0.81,152.3,34.5,0.707,121,50.03,27.83,60,1.8
Catla,73.9,2069,6.2,28.0,26.1,8.13,5.45,0.89,0.61,174.6,26.7,0.377,137,9.28,14.81,77.11,1.73
Gulsha,47.8,2651,12.8,55.46,30.8,6.85,4.61,0.13,0.03,98.2,26.9,0.543,233,27.02,64.29,89.75,1.6
Common Carp,93.6,5898,37.7,63.01,31.5,7.55,5.03,1.13,0.3,119.2,31.9,5.114,91,53.78,242.39,76.41,1.7
Silver Carp,24.9,6970,30.2,279.92,24.6,6.73,4.09,0.66,0.71,150.0,28.8,4.505,209,49.32,224.47,65.3,1.77
Thai Koi,27.8,9724,51.3,349.78,29.0,8.25,7.01,0.14,0.79,146.4,34.0,14.566,143,84.43,601.35,73.25,1.54
Shing,85.4,2990,44.4,35.01,29.7,7.71,4.25,0.8,0.06,153.1,29.1,2.721,109,66.12,163.83,82.87,1.68
Rohu,61.4,8940,54.8,145.6,26.6,7.37,5.47,0.76,0.8,167.1,33.7,10.876,150,83.42,561.65,75.31,1.89
Thai Koi,75.0,2603,68.0,34.71,25.6,7.55,5.16,0.59,0.35,104.8,33.8,3.08,240,157.45,340.21,83.01,1.62
Pabda,39.4,1259,43.3,31.95,26.1,7.75,3.55,0.17,0.51,135.1,34.0,0.916,144,67.06,62.66,74.22,1.81
Pangasius,57.2,5259,66.5,91.94,25.2,7.52,3.77,0.63,0.77,117.7,27.6,5.77,108,106.39,388.96,69.52,1.47
Catla,94.2,413,60.6,4.38,25.7,6.71,5.02,1.14,0.63,92.0,25.8,0.623,144,90.23,23.68,63.56,1.86
Gulsha,71.6,2868,35.8,40.06,25.7,7.26,4.51,0.42,0.78,160.1,31.5,1.92,148,60.83,140.99,80.81,1.51
Gulsha,40.5,2743,24.2,67.73,29.2,7.88,5.82,0.26,0.43,176.5,27.9,1.102,177,46.76,115.57,90.11,1.51
Shing,55.4,5334,6.9,96.28,25.3,7.37,4.01,1.11,0.88,126.0,32.3,0.891,126,10.57,37.26,66.08,1.59
Gulsha,15.9,6734,49.9,423.52,29.3,7.63,3.82,0.63,0.51,89.3,26.2,5.544,111,68.94,290.19,62.51,1.8
Rohu,34.6,6309,40.8,182.34,30.5,8.32,5.11,0.83,0.42,115.3,33.4,4.041,137,58.54,263.35,71.31,1.94
Tilapia,66.6,3427,45.3,51.46,30.6,6.8,7.45,0.45,0.5,137.2,26.4,2.717,113,78.38,247.25,92.05,1.42
Mrigal,27.0,8148,40.6,301.78,30.4,6.61,3.93,1.11,0.49,117.8,28.6,5.227,186,62.64,306.23,60,1.69
Thai Koi,86.6,861,70.1,9.94,28.5,8.35,6.91,0.29,0.79,156.1,28.2,0.917,93,108.14,75.46,81.05,1.51
Rohu,51.7,9019,71.6,174.45,25.7,7.9,6.86,1.05,0.16,140.5,27.1,12.269,209,126.15,761.59,66.94,1.93
Pangasius,71.7,7661,8.3,106.85,31.3,7.86,4.99,0.18,0.98,113.3,29.9,1.723,177,16.81,112.09,87.05,1.46
Pabda,72.4,5671,38.0,78.33,24.8,7.12,5.9,0.36,0.48,179.8,27.3,4.159,143,62.89,317.59,89.05,1.58
Koi,43.3,4579,16.7,105.75,28.7,7.98,5.34,1.09,0.91,153.7,33.8,2.065,124,24.9,75.91,66.59,1.56
Pabda,92.2,8588,61.0,93.15,26.4,8.16,6.44,0.22,0.76,106.6,28.2,11.263,145,100.47,698.62,80.97,1.7
Koi,28.1,6741,20.7,239.89,30.5,7.45,5.8,1.09,0.3,178.6,30.6,3.07,96,30.13,136.56,67.24,1.62
Catla,25.9,1285,74.0,49.61,25.6,6.75,5.5,0.76,0.91,159.1,32.0,2.663,99,96.61,85.94,69.23,1.99
Shing,16.2,8890,71.9,548.77,29.5,7.48,6.92,0.24,0.3,93.3,32.3,10.738,134,120.51,892.54,83.31,1.47
Pangasius,37.7,5724,13.4,151.83,31.4,8.11,6.24,1.01,0.12,106.7,34.3,1.365,214,28.51,110.86,67.93,1.54
Catla,89.5,6624,57.4,74.01,27.4,7.09,7.04,0.27,0.53,177.9,29.2,6.996,206,106.08,576.19,82.0,1.83
Magur,52.1,4269,5.1,81.94,27.6,7.47,4.28,0.81,0.99,144.5,25.9,0.636,136,7.86,25.62,76.37,1.61
Thai Koi,22.9,1208,6.4,52.75,27.7,7.58,6.99,0.17,0.83,155.3,34.2,0.199,205,13.56,13.88,84.73,1.37
Common Carp,50.1,6104,76.3,121.84,29.6,7.24,6.85,0.4,0.11,91.3,32.8,12.389,96,111.0,615.23,90.8,1.73
Mrigal,34.6,6850,70.3,197.98,24.6,6.72,7.0,0.27,0.77,72.5,28.3,9.101,157,111.48,539.49,70.65,1.93
Silver Carp,47.6,8736,31.6,183.53,24.0,7.69,6.61,0.7,0.18,102.9,26.9,4.417,103,43.29,280.89,74.27,1.71
Thai Koi,42.8,7723,34.1,180.44,31.0,8.04,4.3,0.81,0.77,150.8,33.3,4.108,182,61.61,336.09,70.63,1.74
Gulsha,32.9,9357,31.7,284.41,29.2,7.77,7.34,0.56,0.63,147.3,35.0,7.267,184,52.9,341.56,69.01,1.73
Thai Koi,58.4,3252,74.6,55.68,25.5,7.49,4.91,1.06,0.11,116.5,27.5,6.113,195,148.8,358.22,74.03,1.79
Shing,60.8,595,29.0,9.79,29.0,7.05,3.82,0.08,0.17,76.6,25.8,0.366,209,58.79,29.47,84.25,1.52
Koi,9.5,2765,51.1,291.05,27.5,8.04,6.0,0.58,0.74,128.2,33.5,2.798,126,81.72,157.1,69.53,1.77
Tilapia,80.7,2984,31.7,36.98,31.6,6.96,6.66,0.34,0.33,82.8,25.5,2.355,192,77.73,215.34,92.84,1.25
Magur,54.4,9400,73.5,172.79,28.5,7.33,3.73,0.29,0.21,171.6,34.0,19.069,117,114.32,808.3,75.22,1.7
Thai Koi,64.4,2495,73.7,38.74,27.3,8.35,5.1,0.35,0.27,122.1,25.6,2.905,154,136.87,292.11,85.54,1.38
Pangasius,44.1,8687,79.0,196.98,30.3,7.76,4.81,1.13,0.55,142.3,29.9,17.706,110,115.13,602.56,60.25,1.74
Catla,54.3,8221,57.7,151.4,26.3,8.1,7.34,0.5,0.06,103.9,29.1,12.333,171,96.72,667.69,83.97,1.68
Mrigal,70.1,7374,25.9,105.19,26.9,7.13,4.82,0.29,0.9,107.0,25.9,5.386,90,37.41,231.58,83.95,1.57
Mrigal,71.3,9045,25.0,126.86,24.1,6.69,6.93,0.5,0.97,71.7,27.9,4.387,180,41.35,303.36,81.1,1.78
Common Carp,68.2,4136,60.2,60.65,29.4,8.22,5.43,0.37,0.68,150.3,33.3,6.499,139,92.74,299.75,78.15,1.62
Common Carp,27.4,7344,33.4,268.03,25.2,7.06,4.25,0.57,0.7,71.8,32.7,5.396,222,60.9,303.81,67.93,1.6
Shing,12.2,5492,12.4,450.16,31.8,7.2,5.47,0.59,0.73,128.1,25.9,1.818,98,17.14,66.12,70.23,1.83
Rohu,75.5,2830,29.1,37.48,28.4,7.09,4.23,0.2,0.51,96.1,31.9,1.96,152,46.84,114.83,86.62,1.66
Silver Carp,73.9,7816,24.4,105.76,31.6,7.84,3.59,0.11,0.81,119.1,32.6,3.986,133,37.89,220.19,74.35,1.79
Gulsha,90.8,7740,18.1,85.24,26.4,6.59,6.99,0.05,0.67,115.2,27.8,2.171,138,30.12,178.02,76.35,1.6
Silver Carp,26.4,1895,69.9,71.78,31.2,6.72,7.17,0.35,0.08,89.6,30.0,3.894,107,99.6,163.63,86.7,1.85
Gulsha,78.8,9855,45.8,125.06,27.3,7.3,6.7,0.51,0.87,121.9,29.5,11.555,95,66.38,505.88,77.33,1.75
Catla,92.0,7557,21.7,82.14,26.2,7.37,6.38,0.9,0.89,152.5,28.2,4.608,143,34.99,199.78,75.55,1.9
Mrigal,71.6,9730,77.8,135.89,27.3,7.76,3.91,0.96,0.99,94.4,25.8,20.666,100,104.59,694.42,68.24,1.88
Magur,88.1,5992,18.2,68.01,27.1,8.46,6.53,0.54,0.88,94.2,26.2,2.923,181,33.62,146.82,72.88,1.7
Magur,11.6,1313,67.0,113.19,25.9,6.89,5.37,0.56,0.88,161.5,29.2,2.322,109,96.92,98.66,77.53,1.82
Gulsha,23.8,2504,78.2,105.21,31.6,7.84,7.39,0.94,0.18,162.4,31.0,3.583,121,123.67,254.9,82.31,1.48
Gulsha,45.4,7244,9.7,159.56,24.2,7.26,6.41,0.54,0.23,108.0,32.3,1.483,235,19.49,108.15,76.62,1.8
Thai Koi,31.5,8903,21.1,282.63,31.2,7.64,5.94,0.6,0.2,120.4,32.0,4.415,215,41.77,291.51,78.39,1.58
Catla,10.4,3885,51.2,373.56,24.1,7.32,7.17,1.16,0.37,162.5,28.2,4.416,194,82.6,209.6,65.32,1.71
Catla,18.7,8006,34.3,428.13,29.1,6.84,7.24,0.88,0.77,85.1,33.5,7.167,214,57.17,311.99,68.16,1.97
Gulsha,49.4,3754,15.4,75.99,31.0,6.61,5.57,0.28,0.77,147.4,28.4,1.098,123,23.57,70.73,79.94,1.69
Tilapia,53.4,9603,37.5,179.83,28.2,7.99,6.79,0.99,0.09,146.9,28.9,10.515,175,74.79,581.0,80.9,1.37
Magur,64.9,5431,46.9,83.68,29.2,6.71,4.19,0.34,0.11,152.9,33.1,6.775,144,80.59,375.85,85.87,1.66
Tilapia,19.5,9107,74.1,467.03,24.3,7.65,3.78,0.33,0.99,78.1,26.9,19.3,97,118.32,759.24,70.46,1.55
Magur,94.9,7786,17.6,82.04,25.1,7.67,7.2,0.73,0.83,137.0,30.1,3.645,237,36.62,221.46,77.68,1.82
Shing,29.5,6469,16.7,219.29,31.8,8.38,4.38,0.07,0.36,78.6,25.2,2.787,213,32.39,165.77,79.11,1.62
Koi,51.2,4961,79.1,96.89,27.1,8.14,3.65,0.46,0.67,131.5,32.9,10.242,139,135.37,521.0,77.58,1.69
Thai Koi,78.8,4197,74.1,53.26,25.6,7.69,4.54,0.41,0.88,125.6,34.2,4.789,206,160.08,572.01,85.14,1.6
Silver Carp,98.9,2652,49.9,26.81,27.7,7.15,6.79,0.97,0.9,169.5,34.7,2.17,183,85.23,169.63,75.05,1.89
Pabda,88.5,3738,25.2,42.24,28.9,7.17,4.25,1.06,0.48,162.9,32.8,1.724,226,47.82,130.73,73.13,1.65
Silver Carp,79.6,3088,39.3,38.79,30.4,6.94,6.12,0.77,0.89,114.7,29.8,3.568,100,51.87,118.42,73.93,1.73
Thai Koi,33.7,8564,32.5,254.12,27.8,7.48,4.17,0.12,0.03,116.1,31.0,6.151,145,60.22,446.29,86.54,1.58
Pangasius,73.5,8401,46.0,114.3,31.6,7.28,4.34,1.16,0.13,129.2,27.8,11.284,153,88.11,563.8,76.17,1.59
Mrigal,35.0,1317,72.2,37.63,24.1,6.81,6.4,1.16,0.82,108.8,33.5,2.624,203,123.74,110.69,67.92,1.69
Mrigal,19.2,5294,15.7,275.73,27.1,7.8,4.37,0.27,0.03,162.5,28.8,2.302,201,28.05,125.42,84.46,1.73
Rohu,86.1,8432,57.4,97.93,30.5,6.78,7.36,1.0,0.26,128.8,34.1,10.164,167,91.8,626.2,80.9,1.68
Gulsha,10.2,8833,27.4,865.98,25.1,7.46,6.47,1.01,0.51,120.2,26.6,4.477,138,38.08,205.2,61.0,1.83
Rohu,13.7,3358,10.2,245.11,25.1,6.64,7.48,1.09,0.32,124.1,27.9,0.637,240,18.55,39.28,63.05,1.76
Thai Koi,27.3,5819,73.7,213.15,28.9,6.81,5.53,0.82,0.64,90.0,25.1,10.979,163,123.66,513.05,71.3,1.59
Common Carp,87.6,926,27.9,10.57,31.6,7.51,6.36,1.16,0.33,146.8,32.0,0.39,140,42.07,28.92,74.24,1.64
Common Carp,72.0,442,38.6,6.14,27.7,8.24,7.48,0.56,0.94,116.7,25.9,0.324,228,71.82,22.68,71.44,1.75
Shing,5.1,6292,47.3,1233.73,31.5,7.69,4.45,0.41,0.12,89.4,30.7,7.024,227,98.19,518.63,83.95,1.67
Pangasius,15.8,9810,43.1,620.89,24.9,6.76,3.55,0.11,0.09,90.4,33.1,9.302,111,68.3,499.61,74.57,1.68
Pabda,48.7,6424,21.2,131.91,27.0,7.66,6.48,0.63,0.62,108.5,28.8,3.323,159,35.07,173.63,77.06,1.77
Mrigal,55.3,2789,55.9,50.43,30.3,6.6,4.41,0.47,0.3,89.0,29.2,4.49,155,91.47,215.96,84.65,1.61
Pabda,46.8,5521,52.5,117.97,29.9,7.11,6.4,0.21,0.5,80.4,27.8,8.406,185,104.2,526.14,91.46,1.65
Mrigal,66.5,6831,40.0,102.72,24.8,6.8,4.68,1.15,0.12,80.8,27.2,7.459,190,68.84,349.57,74.34,1.92
Common Carp,75.6,9480,52.5,125.4,24.5,8.27,7.35,0.25,0.55,171.4,25.0,9.954,107,73.24,560.48,80.72,1.66
Shing,5.3,7393,74.9,1394.91,25.5,7.34,5.44,0.19,0.14,161.6,33.8,16.446,125,118.15,731.21,83.71,1.7
Thai Koi,90.5,7642,55.0,84.44,30.1,7.77,6.79,0.55,0.75,71.0,25.5,12.147,169,97.93,569.08,76.04,1.77
Silver Carp,64.8,8874,78.0,136.94,24.8,8.09,6.43,0.67,0.7,173.0,28.7,16.82,201,144.31,983.38,76.79,1.84
Shing,29.0,9080,63.8,313.1,31.9,8.12,4.11,0.25,0.2,158.3,32.9,15.583,107,97.43,741.6,83.83,1.68
Rohu,80.0,9679,42.9,120.99,25.8,7.15,5.1,0.79,0.25,72.6,31.2,7.267,90,62.02,512.24,85.33,1.56
Magur,52.8,5164,34.9,97.8,27.9,8.11,7.27,0.4,0.8,95.0,26.9,3.064,158,62.75,273.25,84.32,1.56
Magur,98.3,7450,42.3,75.79,29.7,7.67,4.92,0.64,0.74,82.1,32.4,9.391,193,81.27,460.47,76.05,1.63
Catla,17.1,5275,38.9,308.48,30.0,6.97,6.13,1.15,0.54,121.9,33.9,3.222,126,54.0,174.74,61.35,1.79
Gulsha,46.6,4772,78.5,102.4,25.1,8.42,4.85,1.13,0.8,94.9,26.9,7.567,104,108.27,319.85,61.91,1.72
Catla,75.4,5544,41.1,73.53,26.6,6.88,3.94,0.81,0.18,161.9,31.5,6.152,104,57.56,239.38,75.02,1.93
Silver Carp,74.7,2515,38.5,33.67,26.2,8.32,5.36,1.01,0.63,95.0,32.6,2.488,116,52.26,83.52,63.55,1.94
Shing,37.9,4504,64.1,118.84,28.8,6.84,6.38,0.4,0.18,163.7,32.2,4.331,116,104.27,425.07,90.51,1.44
Gulsha,90.5,8299,71.8,91.7,28.2,7.8,3.64,0.21,0.17,72.7,29.4,15.612,179,125.03,860.6,82.94,1.58
Rohu,97.3,2064,16.8,21.21,29.9,8.0,6.99,0.38,0.41,177.0,34.9,0.773,135,27.58,51.83,91.07,1.65
Mrigal,28.2,9258,16.6,328.3,24.5,7.04,6.83,0.58,0.79,179.9,27.0,4.042,118,23.73,151.11,68.79,1.77
Catla,53.6,1514,63.7,28.25,26.8,6.96,5.85,0.13,0.33,71.1,33.3,1.717,232,126.7,175.02,91.24,1.62
Shing,16.5,9757,8.0,591.33,31.4,8.19,4.66,1.02,0.47,105.5,27.4,1.787,117,12.08,81.16,68.85,1.55
Magur,68.5,8943,6.6,130.55,30.0,7.63,5.51,0.93,0.19,162.8,33.1,1.428,159,11.24,82.2,81.79,1.58
Shing,18.9,9220,8.6,487.83,31.5,7.65,3.93,1.15,0.74,71.2,27.2,1.491,98,10.87,60.16,60,1.78
Magur,18.8,1585,40.2,84.31,26.5,7.18,4.68,0.07,0.85,71.1,29.6,1.223,107,63.42,82.72,82.29,1.54
Common Carp,20.0,4664,5.5,233.2,25.1,6.57,6.55,0.68,0.44,99.1,35.0,0.667,131,8.22,27.91,72.78,1.85
Thai Koi,7.8,8453,66.7,1083.72,26.6,7.9,6.92,0.53,0.87,179.0,28.5,14.377,161,111.11,658.09,70.07,1.55
Silver Carp,86.6,734,74.5,8.48,31.1,7.3,3.9,0.23,0.21,176.3,33.0,0.864,166,128.67,78.11,82.7,1.56
Catla,29.9,3941,10.1,131.81,27.9,8.36,3.52,0.89,0.04,158.6,27.7,1.162,239,19.22,54.7,72.23,1.86
Thai Koi,25.2,537,65.7,21.31,26.3,7.52,3.59,0.72,0.46,107.7,27.6,0.737,184,120.56,49.42,76.33,1.55
Gulsha,30.9,2731,29.0,88.38,29.1,6.75,6.06,0.79,0.33,84.3,34.1,1.576,117,43.85,93.53,78.11,1.65
Catla,8.9,8600,10.3,966.29,29.1,7.67,6.39,0.24,0.04,102.3,29.5,2.516,171,17.14,124.5,84.45,1.75
Magur,16.3,7428,66.6,455.71,24.1,8.28,4.56,0.21,0.31,96.6,32.6,7.767,181,125.14,741.74,79.8,1.52
Common Carp,16.4,9086,13.5,554.02,30.0,7.78,4.6,0.29,0.35,158.6,27.7,2.416,95,19.83,149.32,82.89,1.66
Silver Carp,76.4,6206,54.7,81.23,28.8,7.57,4.86,0.25,0.17,71.9,27.2,7.299,124,82.79,456.74,88.9,1.74
Thai Koi,95.5,3865,31.9,40.47,25.8,6.51,5.71,0.31,0.73,165.1,25.6,2.565,189,60.0,187.02,80.65,1.48
Gulsha,15.9,1123,15.9,70.63,25.1,6.95,3.97,0.68,0.88,177.9,25.4,0.477,141,25.2,19.16,67.7,1.82
Pabda,57.6,6529,45.1,113.35,30.6,6.68,4.4,0.37,0.11,114.0,33.7,6.095,177,81.61,460.61,86.45,1.66
Magur,38.7,2354,22.6,60.83,25.8,7.45,5.71,0.73,0.42,122.5,30.1,0.894,213,47.43,95.63,85.66,1.54
Common Carp,90.6,6736,69.0,74.35,27.2,8.29,5.9,0.77,0.84,133.5,26.4,12.363,184,113.19,541.35,71.0,1.7
Catla,15.5,3565,68.7,230.0,28.6,8.45,5.8,1.15,0.23,98.6,26.9,3.992,173,101.82,230.94,63.62,1.8
Pabda,64.2,1084,77.1,16.88,31.0,7.51,6.78,1.04,0.96,159.8,30.6,1.789,209,139.32,98.35,65.12,1.63
Mrigal,82.4,2212,16.3,26.84,30.0,6.83,6.51,0.12,0.27,101.0,28.2,0.754,225,33.71,67.56,90.62,1.59
Magur,75.1,4892,34.3,65.14,31.8,7.7,6.27,0.76,0.96,91.0,35.0,4.749,110,52.08,196.3,77.04,1.83
Tilapia,73.3,8749,68.4,119.36,24.6,8.48,6.73,0.06,0.33,120.4,26.1,17.055,177,147.62,1152.05,89.2,1.25
Pangasius,63.6,8013,13.1,125.99,26.0,7.77,6.06,0.69,0.21,160.1,27.2,1.858,99,21.22,147.2,86.56,1.58
Catla,62.0,6730,47.0,108.55,29.0,6.67,7.09,0.75,0.1,166.6,34.4,7.908,126,67.15,361.51,79.99,1.64
Magur,96.4,9405,77.5,97.56,27.0,8.38,3.63,0.6,0.45,149.3,28.9,16.91,215,145.97,980.65,71.43,1.64
Rohu,69.1,8645,37.3,125.11,31.6,7.45,6.27,0.55,0.95,169.1,26.8,5.869,184,65.89,450.91,79.16,1.86
Rohu,6.6,7798,34.2,1181.52,26.6,8.5,4.49,0.69,0.88,176.6,30.7,7.387,129,47.97,243.13,64.99,1.9
Mrigal,39.8,2972,72.6,74.67,31.1,7.66,4.62,0.49,0.03,158.6,34.6,6.063,99,101.95,272.1,89.8,1.62
Common Carp,43.2,8466,69.4,195.97,28.9,7.81,6.41,0.07,0.62,125.2,30.2,10.106,107,99.58,644.35,76.43,1.67
Magur,66.5,5801,39.7,87.23,31.4,7.89,6.05,1.11,0.94,114.8,26.1,3.961,148,65.53,255.41,67.19,1.57
Gulsha,79.2,4931,67.1,62.26,29.9,8.39,3.57,0.34,0.19,86.6,34.6,6.75,176,120.13,467.2,78.87,1.69
Tilapia,52.5,8224,79.2,156.65,29.2,7.9,3.54,0.12,0.08,101.8,25.3,9.966,162,161.76,1031.28,77.52,1.64
Pangasius,44.3,4518,60.8,101.99,29.1,7.3,6.83,0.27,0.1,109.5,31.5,6.455,157,120.58,509.8,93.58,1.51
Silver Carp,62.0,9315,23.5,150.24,25.2,6.62,5.03,1.16,0.3,163.3,28.4,4.225,152,33.16,193.43,62.62,1.96
Thai Koi,61.0,6622,33.3,108.56,29.1,8.36,7.02,1.07,0.93,89.7,32.5,6.108,92,44.58,188.91,63.99,1.73
Pangasius,97.6,542,78.7,5.55,29.0,7.28,3.84,0.2,0.1,151.4,27.9,0.798,179,167.74,79.08,86.98,1.36
Tilapia,80.5,622,56.5,7.73,27.5,8.36,6.18,0.18,0.67,105.0,28.0,0.752,133,99.31,49.32,79.84,1.44
Silver Carp,11.6,1661,47.5,143.19,27.0,6.63,4.76,0.84,0.64,169.1,31.0,2.264,111,67.86,81.15,72.0,1.8
Koi,9.4,9701,64.5,1032.02,29.0,8.03,3.69,0.61,0.52,146.0,33.2,16.644,132,94.34,584.18,63.83,1.62
Tilapia,29.7,6817,58.4,229.53,27.3,7.5,5.24,0.38,0.07,75.8,27.3,8.997,236,140.95,833.56,86.75,1.27
Pabda,97.3,9740,69.4,100.1,27.5,8.33,4.81,0.06,0.37,107.9,28.2,11.897,196,139.37,1146.26,84.44,1.55
Catla,47.3,7476,43.1,158.05,31.6,7.44,6.97,0.69,0.47,119.5,32.1,8.474,196,77.51,434.85,75.04,1.84
Common Carp,63.5,1951,22.3,30.72,24.7,7.95,7.35,0.47,0.92,99.9,29.3,1.192,164,40.3,67.02,85.25,1.56
Pabda,68.4,7277,18.4,106.39,29.1,7.65,4.84,0.84,0.87,115.4,34.6,2.731,209,34.28,190.48,76.37,1.81
Catla,41.7,5426,33.3,130.12,30.8,8.02,6.25,0.19,0.92,90.4,29.1,4.933,154,55.42,244.53,81.32,1.57
Gulsha,77.0,3587,75.3,46.58,26.2,7.17,3.97,1.19,0.5,172.7,26.4,6.455,114,109.95,261.45,66.29,1.64
Tilapia,59.8,3202,6.7,53.55,26.8,7.29,3.9,0.98,0.59,95.0,25.9,0.601,224,14.93,33.45,69.99,1.5
Shing,35.8,7352,53.7,205.36,28.8,6.83,3.93,0.39,0.67,107.5,26.0,9.791,186,98.99,509.66,70.03,1.62
Catla,67.8,8905,8.8,131.34,26.2,8.42,4.68,1.03,0.91,78.2,29.7,1.395,95,11.05,60.69,61.65,1.98
Magur,23.6,1400,34.8,59.32,29.9,7.91,4.07,0.92,0.09,164.1,32.8,0.799,205,67.61,80.08,84.61,1.68
Thai Koi,76.3,7251,29.5,95.03,31.5,6.73,4.51,0.41,0.22,90.4,30.0,4.791,103,48.42,311.83,88.81,1.37
Koi,15.0,6110,74.1,407.33,25.0,7.75,6.11,0.97,0.78,178.8,29.1,11.59,118,118.39,495.52,68.5,1.79
Koi,17.2,8787,58.2,510.87,25.4,6.59,4.45,0.5,0.51,79.6,26.3,12.734,221,119.47,753.75,71.8,1.59
Gulsha,97.0,9095,55.0,93.76,27.4,7.94,3.61,0.29,0.37,99.7,26.9,8.654,174,97.83,727.14,81.72,1.5
Gulsha,16.5,5277,76.6,319.82,29.3,8.32,4.0,0.82,0.41,119.0,33.9,8.772,223,137.3,508.92,70.24,1.76
Koi,87.8,2655,35.9,30.24,29.1,7.17,4.75,0.57,0.75,116.4,30.5,1.925,225,73.74,154.01,78.66,1.76
Rohu,19.0,8338,40.4,438.84,27.8,7.88,6.24,1.11,0.34,120.6,29.3,7.68,191,68.77,379.64,66.21,1.9
Gulsha,80.1,9795,9.0,122.28,24.7,7.06,3.64,1.06,0.74,152.4,32.2,2.504,207,14.72,87.86,60.92,1.73
Shing,10.8,9954,28.2,921.67,24.9,7.48,6.47,0.89,0.67,175.9,30.7,4.519,119,42.39,292.09,69.22,1.62
Silver Carp,53.4,5513,68.3,103.24,25.1,8.36,7.22,0.97,0.76,118.9,30.3,9.112,177,112.52,444.15,71.6,1.77
Thai Koi,65.5,7176,62.7,109.56,30.6,7.84,3.99,1.01,0.43,133.0,30.9,7.469,94,90.08,438.47,67.83,1.72
Tilapia,83.7,4881,29.8,58.32,28.5,7.4,4.13,1.2,0.17,158.7,33.0,4.131,92,45.86,170.98,76.38,1.36
Silver Carp,47.0,2683,62.1,57.09,31.3,7.53,6.36,0.95,0.46,151.9,26.0,4.749,123,95.53,216.87,84.61,1.73
Tilapia,56.9,2518,70.1,44.25,28.1,8.32,3.55,0.94,0.28,86.4,27.2,4.254,154,128.03,236.24,73.28,1.47
Pangasius,19.3,6487,23.1,336.11,30.0,6.77,6.8,0.9,0.81,146.5,29.2,3.162,211,46.91,200.02,65.73,1.54
Pabda,91.3,4630,20.9,50.71,26.5,8.06,6.42,0.54,0.98,135.9,27.8,2.516,197,39.3,137.18,75.39,1.73
Silver Carp,18.5,600,9.6,32.43,29.5,7.47,5.15,0.3,0.83,166.9,28.5,0.143,156,15.8,8.02,84.56,1.56
Silver Carp,21.5,1794,14.7,83.44,30.9,8.42,5.58,1.07,0.62,102.6,34.2,0.599,192,23.91,26.48,61.73,1.77
Silver Carp,22.0,1765,49.4,80.23,24.5,7.83,6.67,1.2,0.65,151.8,32.5,2.502,108,68.58,82.3,68.0,1.85
Shing,16.6,9584,8.3,577.35,26.8,7.26,7.09,1.08,0.76,141.4,27.5,2.307,93,11.34,65.19,60,1.62
Tilapia,80.8,1998,54.7,24.73,25.1,6.74,5.94,0.31,0.65,177.2,28.9,2.098,158,112.28,184.85,82.4,1.26
Thai Koi,81.9,6703,63.7,81.84,28.5,8.44,5.93,0.49,0.08,128.7,32.9,6.576,143,114.75,686.18,89.21,1.53
Shing,10.2,4098,61.0,401.76,24.0,6.58,6.57,0.59,0.21,88.0,33.9,3.9,97,84.85,249.77,71.83,1.84
Rohu,22.7,3162,47.4,139.3,27.1,7.99,6.64,0.92,0.99,144.2,25.1,2.788,187,77.61,193.92,79.02,1.92
Silver Carp,84.6,8496,60.1,100.43,24.5,7.26,4.42,0.58,0.87,132.2,25.7,10.621,169,101.49,662.62,76.85,1.79
Rohu,26.1,1068,48.7,40.92,29.4,7.38,6.39,0.33,0.33,110.1,30.1,0.967,233,104.53,100.98,90.45,1.56
Koi,14.5,870,48.0,60.0,31.8,7.09,6.9,0.74,0.18,129.5,29.8,0.844,170,90.78,66.23,83.85,1.65
Pabda,83.4,8273,14.3,99.2,29.9,6.54,7.43,0.34,0.43,137.4,31.5,3.49,219,29.82,208.49,84.52,1.67
Rohu,11.7,7739,16.2,661.45,31.3,7.99,5.75,0.97,0.94,125.1,26.6,3.51,111,22.26,120.27,69.81,1.65
Pangasius,65.1,8485,39.3,130.34,24.0,6.8,5.15,0.27,0.17,83.2,27.0,7.87,174,88.2,701.29,93.71,1.35
Tilapia,50.0,5869,42.2,117.38,29.9,7.88,7.49,0.75,0.96,138.6,33.3,5.597,163,83.13,393.42,80.64,1.35
